cluster,LLIN_use,Parasite_prevalence
1,48.5,13.6
4,47.7,31.8
5,27.5,1.6
6,69.5,1.2
7,46.2,2.4
8,77.8,10.8
9,83.5,44.9
10,55.1,14.5
11,30.9,7.1
14,72.1,3.1
15,70.6,13.9
16,50,34.1
17,37.2,27.4
18,75.3,1.4
19,65.6,0
20,74,3.8
21,66,0
22,65.8,35.3
23,61.9,40.7
24,57.6,22.5
30,66.8,25.7
31,68.9,36.4
32,70.2,9.9
33,72.4,0
34,87.9,10.9
35,54.1,0
36,40.6,12.5
37,52.6,2.86
38,75.6,9.2
39,56.2,1.5
40,78.7,0
41,80.2,4.4
42,64,0
43,33.1,11.4
44,48.2,25
45,47.2,16.9
46,59.9,3.5
47,62,12.7
51,76.7,23.5
52,68.5,39.5
55,77.5,43.7
56,48.9,1.6
57,57.4,6.1
58,58.7,3.2
59,84.6,0
60,59.7,0
61,74.8,0
62,77.6,1.4
63,56.5,0
64,54.2,1.6
65,53.7,0
66,63.6,1.2
67,50.3,19.8
68,39.9,8.6
69,88.4,68.4
70,57.5,20.8
71,61.5,2.8
72,60.5,23.6
73,70.3,1.4
74,49.6,32.9
75,67.8,48.7
76,81.4,34.9
77,50.6,5.8
78,69.2,46.2
79,74.3,52.4
80,40.5,30.2
81,72.2,10.9
82,48.6,19.8
83,56.9,46.6
84,76.3,63.3
85,80.8,28.1
86,79.7,25.3
87,65.8,2.4
88,52.6,9.1
89,59.4,0
90,34.4,3.8
91,62.4,58.6
92,59.1,58.3
93,57.5,47.7
94,45.1,54.9
95,67.1,10.8
96,50.6,0
97,59.8,9.3
98,49.6,27.4
99,64.2,9.2
100,82.8,20
101,52.3,26.6
102,36.7,47.7
103,53.3,4.7
104,88.1,54.7
