"","X.3","arm","cluster","include","Health_Sub_District","name_1","DIDE_CODE","res_1","res_2","res_3","LLIN_USE_BASELINE","X3_and_over_net_use_baseline","Predominant_Brand_BASELINE","Nets_Per_person_6m","sleeping_under_net_6m","Nets_Per_person_12m","sleeping_under_net_12m","Nets_Per_person_18m","sleeping_under_net_18m","sleeping_under_net_25m","Net_Type","Distribution_Month","month","days_after_jan_2017","year.1","Prevalence_baseline_2_10_yrs","Number_tested_baseline","Prevalence_6m","Number_tested_6m","Prevalence_12m","Number_tested_12m","Prevalence_18m","Number_tested_18m","Prevalence_25m","dn0_med_2014","rn0_med_2014","gamman_med_2014","dn0_med_2017","rn0_med_2017","gamman_med_2017","seasonal_a0","seasonal_a1","seasonal_b1","seasonal_a2","seasonal_b2","seasonal_a3","seasonal_b3","itn_leave_durMean","eir_est","X","cluster.1","Health_Sub_District.1","HSD.population.at.2017.18.UCC","parasitaemia","X.1","unique_id","cluster.2","Date.LLINs.scheduled.for.distribution..2020.21.","net_schedule_2020","Date.LLINs.actually.distributed..2020.21.","net_delivered_2020","net_type","X.2","prop_gam","prop_ara","prop_fun","HSD","X.4","cluster.3","ITN_Use_prior","ITN_Use_A","net_for_2017_trial","dn0_med_2020","rn0_med_2020","gamman_med_2020","eir_preds"
"1",1,3,1,1,"Ibanda","Mbarara",103285,0.49,0.65,0.65,0.987804878,0.691358025,"PermaNet 2.0",0.554166667,0.891666667,0.573991031,0.704035874,0.397540984,0.631147541,0.485,"PermaNet 2.0","Jul-17",7,195,2017,0.1276596,94,0.063492063,63,0.016666667,60,0.029411765,68,0.136,0.288608921,0.677136046,2.324561098,0.261354002,0.69613767,2.195136394,2.085169221,0.490035026,-0.133685553,-1.447381674,-0.609622629,-0.000470121,-0.243443866,4.787082377,8.045335287,NA,1,"Ibanda",257347,3.4,NA,139,1,"Aug - Sept 2020",257,"25 Oct - 7 Nov 2020",298,"Standard",NA,0.7149,0.0445,0.2405,NA,NA,1,0.691358025,0.891666667,"Standard",0.261354002,0.69613767,2.195136394,2.17131318604149
"2",2,2,2,1,"Bughendera","Bundibugyo",103251,0.55,0.7,0.7,0.984126984,0.080645161,"PermaNet 2.0",0.536290323,0.931451613,0.392361111,0.746527778,0.284210526,0.58245614,NA,"Olyset Plus","Mar-18",3,438,2018,0.3529412,102,0.054794521,73,0.078947368,76,0.171428571,70,NA,0.279244742,0.683831278,2.278916867,0.396906148,0.589920485,1.770636529,2.580746356,-0.527091925,-0.600614046,-1.50198419,-0.554288099,0.208562441,-0.4734048,7.096389893,32.29396261,NA,2,"Bughendera",70726,NA,NA,140,2,"July - Aug 2020",226,"25 Oct - 7 Nov 2020",298,"Standard",NA,0,0,1,2,NA,2,0.080645161,0.931451613,"PBO",0.249873012,0.703673574,2.152048112,14.6491519716228
"3",3,1,3,1,"Bwamba","Bundibugyo",103251,0.55,0.7,0.7,0.974358974,0.315789474,"PermaNet 2.0",0.393491124,0.881656805,0.46835443,0.759493671,0.186046512,0.287790698,NA,"Olyset Net","Mar-18",3,438,2018,0.4803922,102,0.08,75,0.1875,80,0.459183673,98,NA,0.279244742,0.683831278,2.278916867,0.249873012,0.703673574,2.152048112,2.580746356,-0.527091925,-0.600614046,-1.50198419,-0.554288099,0.208562441,-0.4734048,5.779247718,62.34058485,NA,3,"Bwamba",166469,NA,NA,141,3,"July - Aug 2020",226,"25 Oct - 7 Nov 2020",298,"Standard",NA,0.12,0,0.88,3,NA,3,0.315789474,0.881656805,"Standard",0.249873012,0.703673574,2.152048112,30.9040308267542
"4",4,2,4,1,"Buliisa","Masindi",103282,0.47,0.63,0.63,0.967213115,0.542372881,"DawaNet",0.48540146,0.916058394,0.527272727,0.822727273,0.38490566,0.743396226,0.477,"Olyset Plus","May-17",5,134,2017,0.4742268,97,0.253731343,67,0.104477612,67,0.131147541,61,0.318,0.291780212,0.674831355,2.339293957,0.415127741,0.573909878,1.902277257,3.064618224,-1.517285438,-0.57251896,-1.424209634,-0.628146606,0.221446026,-0.064315736,5.64633582,78.31967926,NA,4,"Buliisa",124876,8.4,NA,46,4,"Nov - Dec 2020",348,"9 - 21 Aug 2020",221,"Standard",NA,0.396226415,0.018867925,0.58490566,4,NA,4,0.542372881,0.916058394,"PBO",0.265107655,0.693610902,2.212647127,30.001089832181
"5",5,1,5,1,"Bukanga","Iganda",103256,0.49,0.65,0.65,0.727272727,0.425,"Century",0.509578544,0.75862069,0.51369863,0.626712329,0.326732673,0.617161716,0.275,"Olyset Net","Jul-17",7,195,2017,0.2,80,0.105263158,76,0.025316456,79,0,59,0.016,0.288608921,0.677136046,2.324561098,0.261354002,0.69613767,2.195136394,3.23117164,-1.401304782,0.231896847,-1.625879136,-0.920101702,0.261199491,-0.205104992,15,14.80961216,NA,5,"Bukanga",235197,0.5,NA,142,5,"July - Aug 2020",226,"25 Oct - 7 Nov 2020",298,"Standard",NA,0.8125,0.1875,0,5,NA,5,0.425,0.75862069,"Standard",0.261354002,0.69613767,2.195136394,6.10942678156871
"6",6,4,6,1,"Isingiro North","Mbarara",103285,0.49,0.65,0.65,0.954545455,0.880952381,"PermaNet 2.0",0.498127341,0.921348315,0.580152672,0.713740458,0.421641791,0.708955224,0.695,"PermaNet 3.0","Jul-17",7,195,2017,0.1125,80,0.025,80,0.0125,80,0,75,0.012,0.288608921,0.677136046,2.324561098,0.410829262,0.577712975,1.86424581,2.085169221,0.490035026,-0.133685553,-1.447381674,-0.609622629,-0.000470121,-0.243443866,6.802268956,7.635724744,NA,6,"Isingiro North",131827,0.4,NA,143,6,"July - Aug 2020",226,"25 Oct - 7 Nov 2020",298,"Standard",NA,1,0,0,6,NA,6,0.880952381,0.921348315,"PBO",0.261354002,0.69613767,2.195136394,1.62155892401937
"7",7,3,7,1,"Isingiro South","Mbarara",103285,0.49,0.65,0.65,0.823529412,0.871428571,"PermaNet 2.0",0.5,0.857142857,0.552447552,0.758741259,0.378472222,0.552083333,0.462,"PermaNet 2.0","Jul-17",7,195,2017,0.1219512,82,0.033333333,60,0.085365854,82,0,60,0.024,0.288608921,0.677136046,2.324561098,0.261354002,0.69613767,2.195136394,2.085169221,0.490035026,-0.133685553,-1.447381674,-0.609622629,-0.000470121,-0.243443866,2.467568391,5.806406948,NA,7,"Isingiro South",162081,0.7,NA,144,7,"July - Aug 2020",226,"25 Oct - 7 Nov 2020",298,"Standard",NA,1,0,0,7,NA,7,0.871428571,0.857142857,"Standard",0.261354002,0.69613767,2.195136394,1.95334757638893
"8",8,1,8,1,"Ruhinda","Bushenyi",103252,0.49,0.65,0.65,1,0,"PermaNet 2.0",0.5,0.864661654,0.535714286,0.837301587,0.505703422,0.878326996,0.778,"Olyset Net","Jul-17",7,195,2017,0.2465753,73,0.081395349,86,0.050847458,59,0.013888889,72,0.108,0.288608921,0.677136046,2.324561098,0.261354002,0.69613767,2.195136394,2.384329351,0.543956957,-0.297619485,-1.673696106,-0.701611434,0.058273232,-0.351621285,3.624367904,16.65296922,NA,8,"Ruhinda",189961,2.7,NA,145,8,"July - Aug 2020",226,"25 Oct - 7 Nov 2020",298,"Standard",NA,1,0,0,8,NA,8,0,0.864661654,"Standard",0.261354002,0.69613767,2.195136394,6.82736684536825
"9",9,4,9,1,"Kibanda","Masindi",103282,0.47,0.63,0.63,0.851851852,0.5,"PermaNet 2.0",0.505703422,0.790874525,0.4609375,0.79296875,0.502202643,0.86784141,0.835,"PermaNet 3.0","May-17",5,134,2017,0.4512195,82,0.328767123,73,0.347826087,69,0.306451613,62,0.449,0.291780212,0.674831355,2.339293957,0.415127741,0.573909878,1.902277257,3.064618224,-1.517285438,-0.57251896,-1.424209634,-0.628146606,0.221446026,-0.064315736,5.526202611,55.2276156,NA,9,"Kibanda",270061,12.5,NA,47,9,"Nov - Dec 2020",348,"9 - 21 Aug 2020",221,"PBO",NA,0.767857143,0,0.232142857,9,NA,9,0.5,0.790874525,"PBO",0.415127741,0.573909878,1.902277257,27.3364231170959
"10",10,3,10,1,"Kazo","Mbarara",103285,0.49,0.65,0.65,0.858695652,0.873417722,"PermaNet 2.0",0.48540146,0.835766423,0.506944444,0.899305556,0.332,0.616,0.551,"PermaNet 2.0","Jul-17",7,195,2017,0.1428571,91,0.053333333,75,0.042857143,70,0.042857143,70,0.145,0.288608921,0.677136046,2.324561098,0.261354002,0.69613767,2.195136394,2.085169221,0.490035026,-0.133685553,-1.447381674,-0.609622629,-0.000470121,-0.243443866,3.673189039,7.043849188,NA,10,"Kazo",189969,4,NA,146,10,"July - Aug 2020",226,"25 Oct - 7 Nov 2020",298,"Standard",NA,1,0,0,10,NA,10,0.873417722,0.835766423,"Standard",0.261354002,0.69613767,2.195136394,2.81731729173842
