cluster,Health_Sub_District,Nets_Per_person_6m,sleeping_under_net_6m,Nets_Per_person_12m,sleeping_under_net_12m,Nets_Per_person_18m,sleeping_under_net_18m
1,Ibanda,0.554166667,0.891666667,0.573991031,0.704035874,0.397540984,0.631147541
2,Bughendera,0.536290323,0.931451613,0.392361111,0.746527778,0.284210526,0.58245614
3,Bwamba,0.393491124,0.881656805,0.46835443,0.759493671,0.186046512,0.287790698
4,Buliisa,0.48540146,0.916058394,0.527272727,0.822727273,0.38490566,0.743396226
5,Bukanga,0.509578544,0.75862069,0.51369863,0.626712329,0.326732673,0.617161716
6,Isingiro North,0.498127341,0.921348315,0.580152672,0.713740458,0.421641791,0.708955224
7,Isingiro South,0.5,0.857142857,0.552447552,0.758741259,0.378472222,0.552083333
8,Ruhinda,0.5,0.864661654,0.535714286,0.837301587,0.505703422,0.878326996
9,Kibanda,0.505703422,0.790874525,0.4609375,0.79296875,0.502202643,0.86784141
10,Kazo,0.48540146,0.835766423,0.506944444,0.899305556,0.332,0.616
11,Nyabushozi,0.496268657,0.884328358,0.478672986,0.668246445,0.361111111,0.658730159
12,Sheema South,0.5,0.902255639,0.539370079,0.799212598,0.481343284,0.701492537
13,Sheema North,0.452380952,0.911564626,0.544186047,0.855813953,0.423220974,0.700374532
14,Bunyaruguru,0.463414634,0.87804878,0.574468085,0.843971631,0.514018692,0.738317757
15,Katerera,0.481884058,0.927536232,0.571428571,0.870748299,0.544585987,0.684713376
16,Kibaale,0.521568627,0.933333333,0.472222222,0.75,0.304054054,0.533783784
17,Kitagwenda,0.538461538,0.858299595,0.41697417,0.811808118,0.406779661,0.752542373
18,Kajara,0.488970588,0.900735294,0.595744681,0.842553191,0.610714286,0.853571429
19,Ntungamo Municipality,0.549586777,0.809917355,0.453441296,0.769230769,0.490842491,0.78021978
20,Ruhaama,0.517509728,0.832684825,0.564013841,0.792387543,0.5,0.634751773
21,Rushenyi,0.469964664,0.929328622,0.53358209,0.929104478,0.433460076,0.547528517
22,Bujenje,0.540650407,0.845528455,0.454545455,0.783549784,0.609053498,0.798353909
23,Buruli,0.511538462,0.819230769,0.478764479,0.737451737,0.3828125,0.6015625
24,Masindi Municipality,0.406727829,0.825688073,0.507575758,0.78030303,0.450549451,0.681318681
25,Bukonzo West,0.450847458,0.766101695,0.327702703,0.594594595,0.289085546,0.554572271
26,Bukonzo East,0.460207612,0.920415225,0.416666667,0.649425287,0.306060606,0.448484848
27,Busongora South,0.513513514,0.94980695,0.466431095,0.932862191,0.343283582,0.675373134
28,Busongora North,0.409230769,0.830769231,0.246527778,0.420138889,0.183486239,0.293577982
29,Kasese Municipality,0.529880478,0.725099602,0.519480519,0.753246753,0.381974249,0.733905579
30,Bugahya,0.450847458,0.827118644,0.483333333,0.770833333,0.544444444,0.888888889
31,Buhaguzi,0.513513514,0.8996139,0.475884244,0.836012862,0.471380471,0.811447811
32,Hoima Municipality,0.478417266,0.798561151,0.519148936,0.817021277,0.515283843,0.720524017
33,Bushenyi-Ishaka Municipality,0.532,0.86,0.580188679,0.764150943,0.478632479,0.717948718
34,Igara West,0.511538462,0.884615385,0.596774194,0.907258065,0.457249071,0.776951673
35,Igara East,0.549586777,0.826446281,0.583673469,0.853061224,0.458498024,0.818181818
36,Kyaka,0.507633588,0.805343511,0.527131783,0.794573643,0.37254902,0.607843137
37,Buyangabu,0.469964664,0.915194346,0.447272727,0.781818182,0.424710425,0.725868726
38,Burahya,0.434640523,0.89869281,0.420138889,0.875,0.482352941,0.890196078
39,Fort-Portal Municipality,0.536290323,0.810483871,0.504166667,0.75,0.382882883,0.612612613
40,Rubabo,0.503787879,0.897727273,0.529182879,0.739299611,0.594262295,0.799180328
41,Rujumbura,0.503787879,0.901515152,0.547244094,0.649606299,0.632727273,0.865454545
42,Rukungiri Municipality,0.580786026,0.912663755,0.618644068,0.690677966,0.527196653,0.753138075
43,Ntoroko,0.404255319,0.835866261,0.47005988,0.856287425,0.327645051,0.559726962
44,Mwenge North,0.503787879,0.787878788,0.539923954,0.923954373,0.367588933,0.616600791
45,Mwenge South,0.490774908,0.778597786,0.494773519,0.790940767,0.362637363,0.615384615
46,Kinkizi East,0.509578544,0.877394636,0.538461538,0.914529915,0.539923954,0.847908745
47,Kinkizi West,0.505703422,0.927756654,0.554166667,0.875,0.540229885,0.800766284
48,Kashari,0.642512077,0.903381643,0.448818898,0.751968504,0.254807692,0.504807692
49,Mbarara Municipality,0.627358491,0.877358491,0.57918552,0.85520362,0.453488372,0.647286822
50,Rwampara,0.444816054,0.899665552,0.569230769,0.807692308,0.346007605,0.600760456
51,Bugangaizi West,0.507633588,0.938931298,0.514522822,0.834024896,0.517985612,0.910071942
52,Bugangaizi East,0.532,0.96,0.486577181,0.667785235,0.48409894,0.80565371
53,Buyaga West,0.443333333,0.793333333,0.395652174,0.656521739,0.27972028,0.611888112
54,Buyaga East,0.483636364,0.901818182,0.56,0.84,0.231316726,0.512455516
55,Buyanja,0.540650407,0.845528455,0.484732824,0.812977099,0.439688716,0.836575875
56,Buhweju,0.55186722,0.863070539,0.516728625,0.617100372,0.360323887,0.704453441
57,Bufumbira East,0.515503876,0.899224806,0.487804878,0.821138211,0.474074074,0.87037037
58,Bufumbira North,0.492592593,0.881481481,0.54893617,0.834042553,0.422222222,0.840740741
59,Bufumbira South,0.509578544,0.835249042,0.521008403,0.857142857,0.519607843,0.712418301
60,Kabale Municipality,0.536290323,0.75,0.572815534,0.834951456,0.493775934,0.79253112
61,Ndorwa East,0.570815451,0.836909871,0.563265306,0.808163265,0.596491228,0.907894737
62,Ndorwa West,0.515503876,0.856589147,0.584745763,0.843220339,0.486055777,0.864541833
63,Rubanda East,0.498127341,0.730337079,0.528384279,0.611353712,0.53046595,0.788530466
64,Rubanda West,0.492592593,0.833333333,0.495495495,0.563063063,0.43495935,0.678861789
65,Rukiga South,0.538461538,0.777327935,0.677824268,0.924686192,0.57751938,0.790697674
66,Rukiga North,0.521568627,0.745098039,0.687747036,0.664031621,0.586872587,0.787644788
67,Amuria,0.420886076,0.85443038,0.498659517,0.756032172,0.444743935,0.760107817
68,Kapelebyong,0.447811448,0.861952862,0.412256267,0.688022284,0.345890411,0.688356164
69,Bukooli South,0.534136546,0.742971888,0.581818182,0.952727273,0.477272727,0.916666667
70,Soroti,0.40060241,0.78313253,0.501449275,0.875362319,0.390934844,0.628895184
71,Soroti Municipality,0.68556701,0.896907216,0.544747082,0.750972763,0.485943775,0.763052209
72,Butembe,0.461805556,0.857638889,0.445141066,0.670846395,0.496323529,0.856617647
73,Jinja Municipal,0.517509728,0.848249027,0.424369748,0.701680672,0.390625,0.671875
74,Kagoma,0.481884058,0.815217391,0.469924812,0.703007519,0.521568627,0.905882353
75,Bugabula,0.505703422,0.711026616,0.520123839,0.656346749,0.412587413,0.716783217
76,Buzaaya,0.471631206,0.606382979,0.613013699,0.839041096,0.546099291,0.812056738
77,Busia Municipality,0.658415842,0.772277228,0.418181818,0.672727273,0.363207547,0.75
78,Samia Bugwe South,0.449324324,0.837837838,0.605734767,0.888888889,0.491103203,0.825622776
79,Samia Bugwe North,0.399399399,0.81981982,0.587412587,0.807692308,0.494736842,0.754385965
80,Bugweri,0.498127341,0.93258427,0.46474359,0.740384615,0.397350993,0.721854305
81,Iganga Municipality,0.501886792,0.864150943,0.536679537,0.791505792,0.453846154,0.626923077
82,Kigulu South,0.471631206,0.85106383,0.577922078,0.87012987,0.350157729,0.640378549
83,Kigulu North,0.4375,0.710526316,0.486842105,0.868421053,0.433224756,0.801302932
84,Luuka,0.4169279,0.902821317,0.584664537,0.900958466,0.529644269,0.909090909
85,Kumi,0.392330383,0.814159292,0.561403509,0.80994152,0.463276836,0.81920904
86,Ngora,0.476702509,0.935483871,0.584699454,0.800546448,0.522988506,0.873563218
87,Budadiri East,0.496268657,0.895522388,0.470817121,0.778210117,0.433962264,0.781132075
88,Budadri West,0.473309609,0.93594306,0.526490066,0.864238411,0.505084746,0.813559322
89,Tingey,0.427652733,0.887459807,0.535825545,0.862928349,0.473520249,0.937694704
90,Kween,0.385507246,0.704347826,0.518771331,0.85665529,0.365325077,0.684210526
91,Bunya West,0.447811448,0.760942761,0.448916409,0.730650155,0.45,0.728125
92,Bunya East,0.580786026,0.925764192,0.466666667,0.647619048,0.482758621,0.772413793
93,Bunya South,0.40797546,0.917177914,0.476351351,0.800675676,0.416393443,0.757377049
94,Bulamogi,0.430420712,0.935275081,0.5,0.905228758,0.49068323,0.866459627
95,Bulambuli,0.483636364,0.909090909,0.524344569,0.850187266,0.546468401,0.87732342
